text,trans,count
あ行,a行,
アウギュステ列島,奧古斯特列島,
広大な水資源の上を漂う経済特區。正しくはアウギュステ列島特別経済協力自治區であり、どの週辺國の領土にも屬さない特別自治區。アウギュステは海と呼ばれる他に類を見ない巨大な水たまりから観光地として人気が高く、多くの商店が軒を連ねている。商店からの稅収によって潤沢な財源を持っており、國軍に匹敵するほどの傭兵を自衛軍として僱っている。 ,漂浮在廣大的水資源上的經濟特區。準確來說是叫奧古斯特列島特別經濟協力自治區，是不屬於任何周邊國領土的特別自治區。因奧古斯特有其他地方都沒有的名為海的巨大水池，所以它作為觀光地很有人氣，商店鱗次櫛比。由商店收取來的稅收讓其擁有充裕的財源，僱傭了能夠匹敵國軍的佣兵作為自衛軍。 ,
失われた王家,失落的王家,
千年前に失われたある王國を統治していた古の血統。ソシエ、ユエル、コウの先祖である。元々は壱之王が全土を総べていたが、広がり続ける國土、増え続ける國民を一人の王が統治し続けることには限界があった。壱之王は信頼できる八名の臣下に國と民を割譲し、それぞれを諸王とする。しかしこれに増長した諸王は権力を亂用し始めた。國の分裂を危懼した壱之王は諸王に序列を設ける法を定め、平和の維持に努めた。しかしその甲斐虛しく、やがて王家は暴れ狂う九尾に降伏し、定期的に國の文化であった舞を捧げるようになる。それをよしとしない壱之王は諸王と結託し密かに九尾を封印する計畫を実行。計畫は見事に成功したが、その間際、九尾は致死性の瘴気を撒き散らし、封印に立ち會った九名の王を殺してしまう。要を失った王國は緩やかに衰退し、やがて滅びてしまった。 ,千年前統治失落的王國的古老的血統。是蘇絲雅、尤艾爾、蔻的祖先。 <br>原本是由壹之王統治著全部的國土，然而對於不斷擴張的領土和增長的國民，一個王想要持續統治也是心有餘而力不足。後來壹之王將國土和國民割讓給了可以信賴的八名部下，分封他們成為各國的王。但是諸王卻因此傲慢起來，開始濫用權力。擔心國家分裂的壹之王頒布了對諸王設置順序的法律，努力想要維持和平。 <br>然而她的努力都是徒勞，最終王家向狂暴的九尾投降，定期向它獻上作為國家文化的舞蹈。不願屈服於九尾的壹之王夥同其他諸王秘密實行封印九尾的計劃。最終計劃順利成功，但在一切都要結束的時候九尾散發出致死性的瘴氣，殺害了在場參與封印的九名國王。失去主心骨的王國隨後慢慢衰退，最終消失於世。 ,
か行,ka行,
グランサイファー,格蘭賽法,
ポート・ブリーズ群島、エインガナ島のアンガド高原に、いつの頃からか放置されていた難破船。草原に座しながらも雄々しいその姿は、操舵士を志したラカムの原風景であり、同時に彼の心を縛るものとなった。騎空艇としては中型のものであり、動力などに関しては一般的な騎空艇と変わらないが、搭乗者の心に反応するなど謎の多い機體でもある。 ,不知何時起被棄置在微風港群島的艾因加納島安嘉德高原上的遇難船。 <br>它坐落草原依然雄壯無比的姿態，對以操舵手為志向的拉卡姆來說，既是他的原始心像風景，亦束縛了他的心。 <br>作為騎空艇，格蘭賽法屬於中型艇，動力方面與其他一般的騎空艇沒有多大的區別，但它會對搭乘者的心做出反應，是充滿謎團的機體。 ,
さ行,sa行,
スーオファミリー,娑之家,
