id,name,detail,vyrn
10001,贊克汀澤,,
10001-1,環形山脈,整個贊克汀澤島被外部山脈所環繞著，<br>這座山脈曾經切斷了島民和外界的聯繫。 <br>但是由於近年來騎空艇技術的發展，<br>現在島民也可以積極地參加和其他島嶼的有意義的交流了。 ,不過這島上有很多人<br>不管有沒有山脈<br>都不願意出島
10001-2,金露森林,這座島最大的秘密被金露森林所包圍著。 <br>星晶的力量可以讓人民在森林之中自由生活。 <br>只有被選中的巫女才能夠進入這座森林。 ,這裡是……<br>總覺得很懷念……
10001-3,主人公之家,主人公和碧一起生活過的地方，<br>沒有人知道肩負著世界<br>的命運的少年就是在這<br>座房子裡出生和成長。 ,雖然是個很小的家，<br>但住起來感覺也不錯！
10001-4,隱秘之村,吉哈澤爾村已經與世隔絕<br>超過數百年的時間。 <br>然而，他們並不是完全地奉行孤立主義，<br>事實上村民們還是很歡迎那些<br>不時到訪的騎空士和遊客的。 ,村里的人都是好人！
20001,艾因加納島 微風港,,
20001-1,烏格德城堡,烏格德城堡是一座位於鬧市區的古城，<br>千百年來，這座古城經歷了無數滄桑和劇變。 <br>現在，這座城堡主要是作為一個指揮塔，<br>對來往港口的騎空艇進行交通管制。 ,這城堡頂上<br>能看到的風景一定很棒！
20001-2,外圍的棧橋,用於騎空艇靠岸的棧橋。 <br>主要用來給乘客及貨物上下船，<br>是否能夠正確停靠在狹窄的棧橋上，<br>就要看操舵士的本事了。 ,操縱騎空艇的事情<br>就交給專業的操舵士吧！
20001-3,教會本堂,微風港的聖地，<br>在這裡供奉著風之星晶獸和守護神：提亞馬特。 <br>然而，在百年時光的傳承中，<br>這份信仰漸漸地變得平淡，<br>甚至有些人已經對提亞馬特失去了敬意。 ,這座島上豐饒的風<br>據說都來自於提亞馬特的力量！
20001-4,榭洛醬的萬事屋,這座商店提供騎空士們需要的一切，<br>從日常用品到攻城武器，<br>只有你想不到的，沒有榭洛醬賣不了的。 <br>除了銷售服務，<br>萬事屋還開設了酒館供騎空士們分享各自的所見所聞。 ,萬事屋從出生到年紀都是謎……
20002,弗雷梅爾島 巴爾茲公國,,
20002-1,大工廠（ファクトリー）,ファータ・グランデ空域最大の工場を有する<br>バルツ公國の官邸。 <br>バルツ大公の居城であり、<br>大公府もここに置かれている。 <br>覇空戦爭の時代の工廠を再利用しており、<br>鉄鋼業で発展してきたバルツらしい<br>こだわりを見ることができる。 ,覇空戦爭って<br>數百年前だぜ……？ <br>築何年なんだろうな？
20002-2,溶岩の河,バルツ公國の工業を支える熱源であり、<br>國內各所を流れている。 <br>島の地下深くに<br>古來より強大な熱源が埋まっているため、<br>固まることなく流れ続けている。 ,バルツがあっちいのは<br>だいたい<br>この河のせいだな！
20002-3,プラント,バルツ公國本島のフレイメル島には<br>多數の工場が立ち並んでいる。 <br>工場は全てプラントと呼ばれ、<br>古い順に番號がふられており、<br>中には數百年前に放棄された廃工場もある。 ,鉱業、工業に長けた<br>ドラフの本領だな！ <br>街中工場だらけだぜ！
20002-4,アーセナル,工場を囲む鉱山は全てアーセナルと呼ばれ、<br>プラント同様、番號がふられている。 <br>バルツの山はほとんどが鉱山だが、<br>少數ではあるが緑豊かな山も存在しており、<br>自然と暮らすドラフ族もいる。 ,オイラは鉱山よりも<br>りんごの採れる山が<br>いいなぁ……
20003,奧古斯提列島 首都米薩雷亞,,
20003-1,水上都市ミザレア,アウギュステ列島の首都ミザレアは、<br>アウギュステが有する広大な水資源、<br>海の上に位置している。 <br>水の都とも呼ばれ、<br>移動には騎空艇ではなく主に船が使われる。 ,綺麗な街だよな！ <br>一度はゆっくり<br>観光してみたいぜ！
20003-2,奧古斯提的商店1,アウギュステ列島は<br>ファータ・グランデ空域有數の経済力を持ち、<br>街のいたるところに商店がある。 <br>アウギュステは國防軍を持たず、<br>アウギュステ軍は主に<br>金で僱われた傭兵で構成されている。 ,オイゲンの奴も<br>その僱われ傭兵の<br>ひとりだったわけか
20003-3,奧古斯提的商店2,騎空艇を主な移動手段とする空では、<br>高い場所ほどより良い立地とされるが、<br>アウギュステでは主な移動手段が< br>海上を滑る船となるため、<br>低い位置の商店ほど高級とされている。 ,場所代ってのが<br>結構大変だって、<br>シェロがぼやいてたな
20003-4,願いの橋,水上都市ミザレアの観光名所のひとつ。 <br>最も人気のあるスポットとされる。 <br>この橋の下を日沒に合わせて通過すると<br>願いが葉うと言われている。 ,橋をくぐるなんて、<br>アウギュステらしい<br>観光名所だよな！
20004,梅乃亞領地 露瑪茜群島,,
20004-1,ルーマシーの人々,ルーマシー群島に住む人々は皆、<br>あまり世界と関わりを持とうとはしない。 <br>この群島の気質は不干渉であり、<br>來る者を拒むことも、<br>去る者を追うこともなく、<br>ただただ、大地に根を張る大樹のごとく<br>靜かに歴史を見守ってきた。 ,この群島は<br>ザンクティンゼルと<br>同じ匂いがするぜ……
20004-2,星霜の大樹,ルーマシー群島において、<br>幾百年を生き抜いた巨木は、<br>星霜の大樹と呼ばれる。 <br>ルーマシー群島の木々は大いなる加護を<br>受けているため、長い年月を経ようとも、<br>決して枯れることはない。 ,この樹は<br>星の民の襲來も<br>見守ってきたんだな！
20004-3,樹上の邸宅,ルーマシー群島では、<br>樹上に居を構えることも珍しくない。 <br>それは外敵から身を守るために<br>極めて有効な手段であり、<br>また、高い木の上から見る森は、<br>多少の利便性を犠牲にしても<br>得る価値のある絶景と名高い。 ,木の上の家かぁ……<br>隠れ家みたいで<br>おもしれーな！
20004-4,深き森の入口,ルーマシー群島の主は、<br>深く生い茂る植物達であり、<br>黒き森が群島のほとんどを佔める。 <br>森の最奧には、偉大なる世界樹と<br>伝わざりし真実の歴史が眠る。 ,怖いような、<br>落ち著くような……<br>不思議な森だぜ……
20005,城砦都市阿爾比昂,,
20005-1,アルビオン城,城砦都市アルビオンの中央に位置し、<br>アルビオンの根幹を成す城。 <br>領主の執務室や貴賓室、<br>來客用の客室などがあり、<br>下層はアルビオン士官學校の<br>校舎として利用されている。 ,お城の一部を<br>校舎にしちまうなんて<br>変わった街だぜ
20005-2,アルビオンの緑,人工都市であるアルビオンだが、<br>一部には植物が自生している。 <br>これは長い年月の中で、<br>風に乗って流れてきた種が根付き、<br>成長、繁殖していったものである。 ,やっぱりオイラは<br>緑がねぇと<br>落ち著かねぇや！
20005-3,アルビオン市街,アルビオン城を取り囲むように並び、<br>城砦都市アルビオンそのものを形作る。 <br>街中には鍛練を怠らぬため<br>魔物が放し飼いにされており、<br>腕に自信のない者は市街地であっても<br>護衛騎士を必要とする。 ,心の休まらねぇ<br>おっかねぇ街だぜ……
20005-4,城砦都市アルビオン,星の民によって作られた城砦都市であり<br>現在は士官學校を中心とした社會が<br>形成されている。 <br>実力至上主義を標榜しており、<br>領主が亡くなると次の領主を決めるべく<br>アルビオン全體で武術大會が開かれ、<br>その優勝者が次の領主となる。 ,誰にでも領主になる<br>チャンスがあるって<br>すげぇ都市だよな！
20014,北方荒原 白風之境,,
20014-1,エオニオ山脈,白風の境の象徴とも言える山の連なり。 <br>その裾野は広大なノース・ヴァストの<br>一地域を丸ごと構成しており、<br>ファータ・グランデ空域で、<br>最も巨大な山脈とされる。 <br>また、ファータ・グランデ空域において、<br>最も過酷な地とも呼ばれ、<br>調査のために命を落とす者が後を絶たない。 <br>,すっげぇ寒いし、<br>おっかねー場所<br>だよな……<br>
20014-2,瘴流域,空域と空域を分斷する暴風域の壁。 <br>その発生時期は覇空戦爭以前、<br>星の民の襲來にまで遡る。 <br>瘴流域の內部は、<br>魔物を活性化させ、人體には極めて有害な<br>超高濃度の瘴気に満ちており、<br>中に足を踏み入れた者は、< br>わずか數分で死に至る。 <br>,オイラ達は<br>これを越えるために<br>旅してきたんだよな！ <br>
20014-3,白風の境の魔物,白風の境には、同系の魔物であっても、<br>より巨大なものが生息している。 <br>過酷な環境に適応するため<br>魔物が進化した可能性や、<br>白風の境に出現する星晶獣の影響など、<br>様々な説が唱えられているが、<br>未だにはっきりとした結論は出ていない。 <br>,見慣れた魔物でも<br>デカいだけで<br>焦るもんだよな……<br>
20014-4,隠れ裡の伝説,未開の地である白風の境には、<br>幾つもの伝説が存在し、<br>その中の一つに、隠れ裡の伝説がある。 <br>エオニオ山脈に挑み、<br>力盡きた騎空士がある集落に拾われ、<br>騎空士は數日療養した後、集落を出る。 <br>しかし、その後、<br>その騎空士が集落を再び訪れることは、<br>決して出來なかったという。 <br>,この雪山には、<br>色んなもんが<br>潛んでそうだよな！ <br>
20011,王都阿加斯蒂亞,,
20011-1,エルステ帝國府官邸,アガスティアのほぼ中央に位置する<br>エルステ帝國の執務拠點。 <br>その形狀から「タワー」とも呼ばれる。 <br>民間人の立ち入りは<br>厳しく制限されており、<br>公の施設でありながら、<br>その多くが謎に包まれている。 ,ずうっと見上げてたら<br>オイラ、後ろに<br>ひっくり返っちまった
20011-2,エルステ帝國　軍事戦闘艦,ファータ・グランデ空域の<br>各所で見られるエルステ帝國の戦艦。 <br>主に騎空艇との戦闘、<br>兵士や兵器、物資の輸送を擔う。 <br>ガロンゾから購入したものに<br>エルステ帝國內で<br>獨自改良を加えて運用しており、<br>その性能は計り知れない。 ,ザンクティンゼルで、<br>こいつを見たときは<br>心底驚いたぜ……
20011-3,アガスティア市街,エルステ帝國皇帝のお膝元であり、<br>短期間に飛躍的な経済成長を遂げた街。 <br>アガスティアそのものが、<br>軍事拠點としても活用されているため、<br>多くの軍人が街中を闊歩しており、<br>街の住人との交流も盛んである。 ,エルステの街とはいえ、<br>住んでる奴らは、<br>結構普通なんだよな
20011-4,帝都アガスティア,エルステが王政から帝政に変わる際に、<br>新たに首都として開発が始まった<br>巨大要塞都市。 <br>島を上下に覆うように<br>様々な最新鋭の施設が建造されており、<br>大地や緑の見える部分は非常に少ない。 ,すげー街だと思うけど<br>なんか息が<br>詰まるんだよなぁ……
20009,拉比島 舊王都美佛拉修,,
