id,name,text,trans
0-synopsis,,<span class='scene-font-place'>ザンクティンゼル</span>に留まっていたのではいずれ追い詰められると判斷し、<span>姬塔</span>一行は小型艇で島を後にする。謎多き少女ルリアと共に、<span>姬塔</span>の空の果てを目指す旅が始まった。 ,如果再滯留於<span class='scene-font-place'>贊克汀澤</span>，早晚會走投無路，於是<span>姬塔</span>一行搭乘小型飛艇離開島嶼。 <span>姬塔</span>與渾身是謎的少女露莉亞一同啟程，踏上向天際進發的旅途。
0,カタリナ/卡塔莉娜,くっ……<br>ここにいたのでは、<br>追い詰められるのは時間の問題か……,唔……繼續留在這裡的話，早晚會無處可逃麼……
1,カタリナ/卡塔莉娜,やむをえん！ <br>この島を出るぞ！ <br>小型艇を用意してある！ ,沒辦法了！我們要離開這個島！我準備了小型飛艇！
2,ビィ/碧,成り行きとはいえ、オマエが夢見た<br>空の旅ってヤツに出発だな！ <br>腹ァくくれよ！ ,雖說是迫不得已，你夢想的天空之旅就這麼開始了！做好準備哦！
2-sel1_txt,,<span class='scene-font-katari'>覚悟は出來てた</span>,<span class='scene-font-katari'>我已經下定決心了</span>
2-sel2_txt,,<span class='scene-font-katari'>ビィこそ平気？ </span>,<span class='scene-font-katari'>阿碧才是，沒問題嗎？ </span>
3,ビィ/碧,へへっ！ <br>相変わらず潔い奴だな！ <br>そういうとこは親父さんそっくりだぜ！ ,嘿嘿！你還是這麼乾脆！這點和你父親一模一樣！
4,ビィ/碧,へへんっ！ <br>なめてもらっちゃ困るぜ！ ,嘿嘿！你也別小看咱吶！
5,ビィ/碧,オイラのほうこそ、<br>いつでも空に出る準備は<br>出來てたんだからな！ ,咱才是早就做好準備了，隨時都能出發上天！
6,ルリア/露莉亞,ふふっ……ねぇ、カタリナ。 <br>あのふたりって、<br>本當に仲が良いんだね。 ,呵呵……你看，卡塔莉娜。他們兩個，關係真好呢。
7,カタリナ/卡塔莉娜,ああ、そのようだ。 <br>しかし……,啊，是啊。不過……
8,カタリナ/卡塔莉娜,無邪気にはしゃぐビィくんを見ていると<br>なんとも穏やかな気持ちになるよ。 ,我看著阿碧天真活潑的樣子，總覺得心情都變好了。
9,ルリア/露莉亞,カタリナは前から好きだもんね。 <br>小動物とか、もふもふしたものとか……,卡塔莉娜，一直都很喜歡小動物啊，毛茸茸的東西之類的嘛……
10,カタリナ/卡塔莉娜,ああ……って、<br>和んでいる場合ではなかったな！ ,啊……現在不是放鬆的時候！
12,カタリナ/卡塔莉娜,さあ、行こう。 <br>艇はこっちだ！ ,好了，走吧！飛艇在這邊！
12-sel1_txt,,<span class='scene-font-katari'>わかった！ </span>,<span class='scene-font-katari'>我知道了！ </span>
13,ビィ/碧,いよいよだな！ <br>姬塔！ ,終於要出發了！姬塔！
14,ルリア/露莉亞,ふふっ、これから<br>よろしくお願いしますね。 <br>姬塔。 ,呵呵，從今往後請多指教咯。姬塔。
19,,<span class='scene-font-katari'>姬塔達はカタリナが乗ってきた</span><br><span class='scene-font-katari'>帝國の小型艇に乗り込み< /span><br><span class='scene-font-katari'>故郷、閉ざされた島を脫出した。 </span>,<span class='scene-font-katari'>姬塔等人搭乘卡塔莉娜準備的帝國小型飛艇，離開了閉塞的島嶼、姬塔的故鄉。 </span>
20,,<span class='scene-font-katari'>無限とも思える金色の雲海を前に</span><br><span class='scene-font-katari'>一行の胸に不安はなく、不思議と</span><br><span class='scene-font-katari'>溫かな希望に満ち溢れていた。 </span>,<span class='scene-font-katari'>看著眼前一望無垠的金色雲海，一行人心中並無不安，反而充滿了驚奇與溫暖的希望。 </span>
21,ビィ/碧,空だ！ <br>空を飛んでるぜぇ！　オイラ達！ ,咱們！在天上！在天上飛呢！
22,ビィ/碧,なぁなぁ！ <br>これからこの艇で、<br>オイラ達はどこに行くんだ？ ,我說！咱們要乘著這艘船去哪裡呢？
23,カタリナ/卡塔莉娜,そうだな……<br>姬塔が目指しているというのは<br>空の果てでいいんだったな？ ,是個問題……姬塔的目標，是天空的彼方嗎？
24,カタリナ/卡塔莉娜,空の果て……<span class='scene-font-spword'>星の島イスタルシア</span>か。 <br><span class='scene-font-spword'>星の民</span>が住んでいるという伝説の島だ。 <br>険しい旅になるかもしれないぞ。 ,天空的彼方……<span class='scene-font-spword'>星之島伊斯塔爾西亞</span>。傳說中星之民就住在那座島上。這可能會是一次險惡的旅行。
25,ビィ/碧,わかってらぁ！ <br>そんなの百も承知だぜ！ <br>なっ！　姬塔！ ,咱明白呀！這種事咱們早就想過了！是吧！姬塔！
26,カタリナ/卡塔莉娜,そうか……<br>であれば、まずは空域を分斷している<br>瘴流域を越えなくてはなるまい。 ,是麼……那麼，首先得跨越橫斷空域的瘴流域才行啊。
27,カタリナ/卡塔莉娜,そしてそれは私の目的にも合致する。 <br>このファータ・グランデ空域は、<br>エルステ帝國の勢力圏だからな。 ,那麼我們的目的也和你們一致。畢竟整個法塔格蘭德空域，都是埃爾斯特帝國的勢力範圍。
28,ルリア/露莉亞,こんなにお空が広いのに……<br>帝國は追ってくるのかな？ ,明明天空這麼廣闊……帝國還會追來嗎？
29,カタリナ/卡塔莉娜,きっと追ってくる……<br>だが心配することはない。 <br>なにせ空は無限だからな！ ,肯定會追來的……但是我們不需要擔心。畢竟天空是無邊無際的！
30,カタリナ/卡塔莉娜,ファータ・グランデ空域の外に出れば、<br>帝國ももう追っては來れないはずだ。 ,只要出了法塔格蘭德空域，帝國應該就不會再跟來了。
31,ビィ/碧,なんであれ、<br>とにかく長い旅になりそーだな。 ,無論如何都會是一場漫長的旅行啊。
32,カタリナ/卡塔莉娜,ああ。我ながら見切り発車だが<br>空の果てを目指す旅か……<br>なんだかワクワクしてきたよ。 ,是啊。雖然實在有些倉促，旅途的終點是天空的彼方麼……總覺得非常激動。
33,カタリナ/卡塔莉娜,とはいえ、まずは<br>旅の支度を整えようか。 ,話雖如此，我們總要為路途做些準備。
