id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,謎の男に助けられた<span>姬塔</span>一行は、男の隠れ家である地下教會で、この男こそが淒腕の操舵士と謳われるラカムであることを知る。 ,神秘男子救下了<span>姬塔</span>一行。在他的藏身之地，某個地下教會中，<span>姬塔</span>等人得知原來他就是那個技術高超的操舵士拉卡姆。
2,,"ふぅ……<br>
帝國はもう、<br>
探すのを諦めたみたいだぜ。 ",呼……看來帝國已經放棄尋找我們了。
3,,"かたじけない……<br>
いまといい、不時著したときといい……<br>
助けられてばかりだな。 ",太感謝了……這次也是，緊急著陸的時候也是……都是你幫了我們。
4,,"ったく……<br>
俺はラカムってんだが、<br>
アンタ達は何者なんだ？ ",真是的……我叫拉卡姆，你們是什麼人？
5,,"<span class='scene-font-katari'>姬塔達は、</span><br>
<span class='scene-font-katari'>自分達の置かれている狀況を説明した。 </span>",<span class='scene-font-katari'>姬塔等人說明了自己的情況。</span>
6,,"ま、そーいうわけで、<br>
オイラ達には、<br>
操舵士の仲間が必要なんだ！ ",總之就是這樣，咱們需要一個操舵士同伴！
7,,へぇ……そりゃ大変なこって。 ,哎……你們也是不容易。
8,,"まさか君が、<br>
街で名を聞いたラカムだったとはな。 <br>
いや……これも何かの縁か。 ",沒想到你就是大家口中的拉卡姆。不……這也算是緣分吧。
9,,"あの……<br>
急なお願いなのはわかってるんですけど<br>
私達の……仲間になってくれませんか？ ",那個……我們知道這有些突然，但是……能請你加入我們嗎？
10,,ああ……斷る。 ,哦，我拒絕。
11,,"えっ！？<br>
だって、不時著したときも、<br>
あんなに親切に……",誒！？可是，咱們緊急著陸的時候，你也那麼好心地……
12,,"あれは、<br>
艇が可哀想だったから言っただけだ。 ",我那是覺得船可憐才說的……
13,,"それにな……俺は空を捨てたんだ。<br>
もう二度と空は飛ばねぇ……<br>
舵を握ることもねぇだろうよ。 ",而且啊……我已經拋棄了天空。不會再飛了……也不會再掌舵。
14,,"<span class='scene-font-katari'>そう語るラカムの表情は硬く、</span><br>
<span class='scene-font-katari'>その拒否の裏側にある真意を、</span><br>
<span class='scene-font-katari'>決して見せようとはしていなかった。 ",<span class='scene-font-katari'>拉卡姆表情凝重，絕口不提拒絕背後的真意。</span>
19,,ぐ……が……,唔……啊……
20,,"あーらーらー<br>
將軍サマ、大丈夫なのこれ？ <br>
當たり所悪いんじゃないの？　これ。 ",哎呀，將軍閣下，您還好嗎？是不是打中的部位不太妙啊。
21,,"心配いらない……<br>
聞いてるだろ、こいつは大丈夫だ。 <br>
少し時間は必要みたいだけどな。 ",無需擔心……你也聽到了吧，這傢伙沒事。只是恢復要花些時間。
22,,"そういやそうだっけ？<br>
とはいえ、しばらく起きないなら、<br>
僕達の出番かな？ ",好像是這樣。不過，既然他暫時起不來，那就輪到我們出場了？
23,,だろうな……,是吧……
24,,"そっかそっか、うんうん。<br>
お金は貰っちゃってるし、<br>
それ相応のお仕事はしないとねっ！ ",是嗎是嗎，嗯嗯。既然已經收到錢了，就得完成相應的工作！
info,,1,scene_cp1_q4_s30
備註,,,ver-1: @煌月夜 2018/4/1
